Deutsch	Wissenschaftlich
Alpen-Gänsekresse	Arabis alpina
Schaumkraut	Cardamine
Behaartes Schaumkraut	Cardamine hirsuta
Wiesen-Schaumkraut	Cardamine pratensis
Resedablättriges Schaumkraut	Cardamine resedifolia
Gewöhnliches Brillenschötchen	Biscutella levigata
Gewöhnliches Hirtentäschchen	Capsella bursa-pastoris
Alpen-Gemskresse	Hutchinsia alpina
Acker-Täschelkraut	Thlaspi arvense
Lindengewächse	Tiliaceae
Linde	Tilia
Winter-Linde	Tilia cordata
Sommer-Linde	Tilia platyphyllos
Primelgewächse	Primulaceae
Hain-Gilbweiderich	Lysimachia nemorum
Mannsschild	Androsace
Zwerg-Mannsschild	Androsace chamaejasme
Primel	Primula
Aurikel	Primula auricula
Wald-Schlüsselblume	Primula elatior
Mehl-Primel	Primula farinosa
Frühlings-Schlüsselblume	Primula veris
Soldanelle	Soldanella
Grosse Soldanelle	Soldanella alpina
Stechpalmengewächse	Aquifoliaceae
Stechpalme	Ilex aquifolium
Hornstrauchgewächse	Cornaceae
Hartriegel	Cornus sanguinea
Heidekrautartige	Ericales
Heidekrautgewächse	Ericaceae
Bärentraube	Arctostaphylos uva-ursi
Besenheide	Calluna vulgaris
Erika	Erica carnea
Alpenazalee	Loiseleuria procumbens
Alpenrose	Rhododendron
Rostblättrige Alpenrose	Rhododendron ferrugineum
Bewimperte Alpenrose	Rhododendron hirsutum
Heidelbeere	Vaccinium myrtillus
Moorbeere	Vaccinium uliginosum
Preiselbeere	Vaccinium vitis-idaea
Kardenartige	Dipsacales
Geissblattgewächse	Caprifoliaceae
Heckenkirsche	Lonicera
Blaue Heckenkirsche	Lonicera caerulea
Rote Heckenkirsche	Lonicera xylosteum
Holunder	Sambucus
Schwarzer Holunder	Sambucus nigra
Roter Holunder	Sambucus racemosa
Schneeball	Viburnum
Wolliger Schneeball	Viburnum lantana
Gewöhnlicher Schneeball	Viburnum opulus
Kardengewächse	Dipsacaceae
Acker-Witwenblume	Knautia arvensis
Gewöhnliche Skabiose	Scabiosa columbaria
Baldriangewächse	Valerianaceae
Baldrian	Valeriana
Berg-Baldrian	Valeriana montana
Gewöhnlicher Baldrian	Valeriana officinalis
Dreiblatt-Baldrian	Valeriana tripteris
Ölbaumgewächse	Oleaceae
Esche	Fraxinus
Gewöhnliche Esche	Fraxinus excelsior
Liguster	Ligustrum vulgare
Enzianartige	Gentianales
Seidenpflanzengewächse	Asclepiadaceae
Schwalbenwurz	Vincetoxicum hirundinaria
Enziangewächse	Gentianaceae
Clusius Enzian	Gentiana clusii
Stengelloser Enzian	Gentiana acaulis
Frühlings-Enzian	Gentiana verna
Rötegewächse	Rubiaceae
Labkraut	Galium
Weisses Labkraut	Galium album
Kletten-Labkraut	Galium aparine
Waldmeister	Galium odoratum
Tubiflorae	Tubiflorae
Solanaceae	Solanaceae
Atropa belladonna	Atropa belladonna
Solanum dulcamara	Solanum dulcamara
Boraginaceae	Boraginaceae
Echium vulgare	Echium vulgare
Myosotis	Myosotis
Symphytum officinale	Symphytum officinale
Scrophulariales	Scrophulariales
Scrophulariaceae	Scrophulariaceae
Veronica	Veronica
Veronica bellidioides	Veronica bellidioides
Veronica chamaedrys	Veronica chamaedrys
Veronica filiformis	Veronica filiformis
Veronica fruticans	Veronica fruticans
Rhinanthus	Rhinanthus
Rhinanthus alectorolophus	Rhinanthus alectorolophus
Linaria	Linaria
