ID	NAME	RANK	TYPE
234	Elymus repens	357	TAXON
235	Hordeum	358	TAXON
236	Hordeum murinum	359	TAXON
237	Hordeum vulgare	360	TAXON
238	Lolium	361	TAXON
239	Lolium multiflorum	362	TAXON
240	Lolium perenne	363	TAXON
241	Nardus stricta	364	TAXON
242	Secale cereale	365	TAXON
243	Triticum aestivum	366	TAXON
244	Alopecurus pratensis	367	TAXON
245	Anthoxanthum odoratum	368	TAXON
246	Cynosurus cristatus	369	TAXON
247	Phleum	370	TAXON
248	Phleum alpinum	371	TAXON
249	Phleum alpinum agg.	372	TAXON
250	Phleum pratense	373	TAXON
251	Phleum pratense agg.	374	TAXON
252	Sesleria caerulea	375	TAXON
253	Melica	376	TAXON
254	Melica nutans	377	TAXON
255	Stipa pennata	378	TAXON
256	Stipa pennata agg.	379	TAXON
257	Zea mays	380	TAXON
258	Typhaceae	386	TAXON
259	Typha	387	TAXON
260	Typha latifolia	388	TAXON
261	Eudicotyledonae	401	TAXON
262	Berberidaceae	402	TAXON
263	Berberis vulgaris	403	TAXON
264	Papaveraceae	406	TAXON
265	Chelidonium majus	407	TAXON
266	Papaver	408	TAXON
267	Papaver rhoeas	409	TAXON
268	Ranunculaceae	411	TAXON
269	Aconitum	412	TAXON
270	Aconitum napellus	413	TAXON
271	Aconitum napellus agg.	414	TAXON
272	Aconitum vulparia	415	TAXON
273	Aconitum vulparia agg.	416	TAXON
274	Consolida	417	TAXON
275	Consolida regalis	418	TAXON
276	Helleborus	419	TAXON
277	Helleborus foetidus	420	TAXON
278	Trollius europaeus	421	TAXON
279	Aquilegia	422	TAXON
280	Aquilegia vulgaris	423	TAXON
281	Ficaria verna	424	TAXON
282	Ranunculus	426	TAXON
283	Ranunculus acris	427	TAXON
284	Ranunculus acris i.w.S.	428	TAXON
285	Ranunculus bulbosus	429	TAXON
286	Ranunculus montanus	430	TAXON
287	Ranunculus montanus agg.	431	TAXON
288	Ranunculus repens	432	TAXON
289	Ranunculus aconitifolius	433	TAXON
290	Ranunculus platanifolius	434	TAXON
291	Ranunculus alpestris	435	TAXON
292	Ranunculus glacialis	436	TAXON
293	Ranunculus kuepferi	437	TAXON
294	Caltha palustris	441	TAXON
295	Thalictrum	442	TAXON
296	Thalictrum aquilegiifolium	443	TAXON
297	Clematis	444	TAXON
298	Clematis vitalba	445	TAXON
299	Anemone	446	TAXON
300	Anemone nemorosa	447	TAXON
301	Pulsatilla	448	TAXON
302	Pulsatilla alpina	449	TAXON
303	Pulsatilla apiifolia	450	TAXON
304	Pulsatilla vernalis	451	TAXON
305	Amaranthaceae	456	TAXON
306	Chenopodium	457	TAXON
307	Chenopodium album	458	TAXON
308	Chenopodium bonus-henricus	459	TAXON
309	Caryophyllaceae	461	TAXON
310	Alsinoideae	462	TAXON
311	Arenaria	463	TAXON
312	Arenaria biflora	464	TAXON
313	Arenaria serpyllifolia	465	TAXON
314	Arenaria serpyllifolia agg.	466	TAXON
315	Minuartia	467	TAXON
316	Minuartia sedoides	468	TAXON
317	Minuartia verna	469	TAXON
318	Cerastium	470	TAXON
319	Cerastium fontanum	471	TAXON
320	Cerastium fontanum agg.	472	TAXON
321	Cerastium latifolium	473	TAXON
322	Cerastium strictum	474	TAXON
323	Cerastium uniflorum	475	TAXON
324	Stellaria	476	TAXON
325	Stellaria media	477	TAXON
326	Stellaria media agg.	478	TAXON
327	Stellaria nemorum	479	TAXON
328	Stellaria nemorum i.w.S.	480	TAXON
329	Paronychioideae	481	TAXON
330	Herniaria glabra	482	TAXON
331	Spergularia rubra	483	TAXON
332	Silenoideae	486	TAXON
333	Dianthus	487	TAXON
334	Dianthus carthusianorum	488	TAXON
335	Dianthus carthusianorum i.w.S.	489	TAXON
336	Dianthus superbus	490	TAXON
337	Dianthus sylvestris	491	TAXON
338	Gypsophila repens	492	TAXON
339	Saponaria	493	TAXON
340	Saponaria ocymoides	494	TAXON
341	Saponaria officinalis	495	TAXON
342	Silene	496	TAXON
343	Silene acaulis	497	TAXON
344	Silene nutans	498	TAXON
345	Silene nutans i.w.S.	499	TAXON
346	Silene rupestris	500	TAXON
347	Silene vulgaris	501	TAXON
348	Silene vulgaris i.w.S.	502	TAXON
349	Silene flos-cuculi	503	TAXON
350	Silene dioica	504	TAXON
351	Silene latifolia	505	TAXON
352	Droseraceae	511	TAXON
353	Drosera	512	TAXON
354	Drosera rotundifolia	513	TAXON
355	Polygonaceae	516	TAXON
356	Oxyria digyna	517	TAXON
357	Polygonum	518	TAXON
358	Polygonum aviculare	519	TAXON
359	Polygonum persicaria	520	TAXON
360	Polygonum bistorta	521	TAXON
361	Polygonum viviparum	522	TAXON
362	Reynoutria japonica	523	TAXON
363	Rumex	524	TAXON
364	Rumex alpinus	525	TAXON
365	Rumex obtusifolius	526	TAXON
366	Rumex acetosa	527	TAXON
367	Rumex scutatus	528	TAXON
368	Santalaceae	531	TAXON
369	Thesium alpinum	532	TAXON
370	Viscum album	533	TAXON
371	Crassulaceae	536	TAXON
372	Sedum	537	TAXON
373	Sedum acre	538	TAXON
374	Sedum album	539	TAXON
375	Sedum atratum	540	TAXON
376	Sempervivum	541	TAXON
377	Sempervivum arachnoideum	541	TAXON
378	Sempervivum montanum	542	TAXON
379	Saxifragaceae	546	TAXON
380	Chrysosplenium alternifolium	547	TAXON
381	Saxifraga	548	TAXON
382	Saxifraga caesia	549	TAXON
383	Saxifraga paniculata	550	TAXON
384	Saxifraga aizoides	551	TAXON
385	Saxifraga oppositifolia	552	TAXON
386	Saxifraga androsacea	553	TAXON
387	Saxifraga bryoides	554	TAXON
388	Saxifraga rotundifolia	555	TAXON
389	Saxifraga stellaris	556	TAXON
390	Rosanae	561	TAXON
391	Celastraceae	562	TAXON
392	Euonymus europaeus	563	TAXON
393	Parnassiaceae	564	TAXON
394	Parnassia palustris	565	TAXON
395	Euphorbiaceae	568	TAXON
396	Euphorbia	569	TAXON
397	Euphorbia amygdaloides	570	TAXON
398	Euphorbia cyparissias	571	TAXON
399	Euphorbia helioscopia	572	TAXON
400	Mercurialis perennis	573	TAXON
401	Hypericaceae	576	TAXON
402	Hypericum perforatum	577	TAXON
403	Linaceae	581	TAXON
404	Linum catharticum	582	TAXON
405	Salicaceae	586	TAXON
406	Populus	587	TAXON
407	Populus alba	588	TAXON
408	Populus nigra	589	TAXON
409	Populus tremula	590	TAXON
410	Salix	591	TAXON
411	Salix alba	592	TAXON
412	Salix caprea	593	TAXON
413	Salix elaeagnos	594	TAXON
414	Salix helvetica	595	TAXON
415	Salix purpurea	596	TAXON
416	Salix purpurea i.w.S.	597	TAXON
417	Salix herbacea	598	TAXON
418	Salix reticulata	599	TAXON
419	Salix retusa	600	TAXON
420	Violaceae	606	TAXON
421	Viola hirta	607	TAXON
422	Viola reichenbachiana	608	TAXON
423	Viola arvensis	609	TAXON
424	Viola biflora	610	TAXON
425	Viola calcarata	611	TAXON
426	Viola tricolor	612	TAXON
427	Oxalidaceae	616	TAXON
428	Oxalis acetosella	617	TAXON
429	Fabaceae	621	TAXON
430	Faboideae	622	TAXON
431	Laburnum	623	TAXON
432	Laburnum anagyroides	624	TAXON
433	Medicago	625	TAXON
434	Medicago falcata	626	TAXON
435	Medicago lupulina	627	TAXON
436	Medicago sativa	628	TAXON
437	Melilotus	629	TAXON
438	Melilotus albus	630	TAXON
439	Melilotus officinalis	631	TAXON
440	Trifolium	632	TAXON
441	Trifolium alpinum	633	TAXON
442	Trifolium pratense	634	TAXON
443	Trifolium pratense i.w.S.	635	TAXON
444	Trifolium badium	636	TAXON
445	Trifolium dubium	637	TAXON
446	Trifolium montanum	638	TAXON
447	Trifolium repens	639	TAXON
448	Lotus corniculatus	640	TAXON
449	Lotus corniculatus agg.	641	TAXON
450	Lathyrus	642	TAXON
451	Lathyrus pratensis	643	TAXON
452	Lathyrus vernus	644	TAXON
453	Vicia	646	TAXON
454	Vicia cracca	647	TAXON
455	Vicia cracca i.w.S.	648	TAXON
456	Vicia sativa	649	TAXON
457	Vicia sativa i.w.S.	650	TAXON
458	Vicia sepium	651	TAXON
459	Anthyllis vulneraria	652	TAXON
460	Anthyllis vulneraria i.w.S.	653	TAXON
461	Hippocrepis comosa	654	TAXON
462	Securigera varia	655	TAXON
463	Robinia pseudoacacia	656	TAXON
464	Astragalus	661	TAXON
465	Astragalus alpinus	662	TAXON
466	Astragalus frigidus	663	TAXON
467	Hedysarum hedysaroides	664	TAXON
468	Onobrychis	665	TAXON
469	Onobrychis montana	666	TAXON
470	Onobrychis viciifolia	667	TAXON
471	Oxytropis	668	TAXON
472	Oxytropis campestris	669	TAXON
473	Oxytropis campestris i.w.S.	670	TAXON
474	Oxytropis jacquinii	671	TAXON
475	Polygalaceae	676	TAXON
476	Polygala chamaebuxus	677	TAXON
477	Polygala vulgaris	678	TAXON
478	Polygala vulgaris agg.	679	TAXON
479	Fagales	681	TAXON
480	Betulaceae	682	TAXON
481	Alnus	683	TAXON
482	Alnus glutinosa	684	TAXON
483	Alnus incana	685	TAXON
484	Alnus viridis	686	TAXON
485	Betula	687	TAXON
486	Betula pendula	688	TAXON
487	Betula pubescens	689	TAXON
488	Carpinus betulus	690	TAXON
489	Corylus avellana	691	TAXON
490	Ostrya carpinifolia	692	TAXON
491	Fagaceae	693	TAXON
492	Castanea sativa	694	TAXON
493	Fagus sylvatica	695	TAXON
494	Quercus	696	TAXON
495	Quercus petraea	697	TAXON
496	Quercus pubescens	698	TAXON
497	Quercus robur	699	TAXON
498	Juglandaceae	700	TAXON
499	Juglans regia	701	TAXON
500	Cannabaceae	705	TAXON
501	Cannabis sativa	706	TAXON
502	Humulus lupulus	707	TAXON
503	Elaeagnaceae	711	TAXON
504	Hippophae rhamnoides	712	TAXON
505	Rhamnaceae	716	TAXON
506	Frangula alnus	717	TAXON
507	Rhamnus cathartica	718	TAXON
508	Rosaceae	721	TAXON
509	Rosoideae	722	TAXON
510	Dryas octopetala	723	TAXON
511	Geum	724	TAXON
512	Geum montanum	725	TAXON
513	Geum rivale	726	TAXON
514	Geum urbanum	727	TAXON
515	Filipendula ulmaria	728	TAXON
516	Potentilla	729	TAXON
517	Potentilla anserina	730	TAXON
518	Potentilla aurea	731	TAXON
519	Potentilla crantzii	732	TAXON
520	Potentilla erecta	733	TAXON
521	Potentilla reptans	734	TAXON
522	Potentilla sterilis	735	TAXON
523	Sibbaldia procumbens	736	TAXON
524	Alchemilla	737	TAXON
525	Alchemilla alpina	738	TAXON
526	Alchemilla alpina agg.	739	TAXON
527	Alchemilla vulgaris	740	TAXON
528	Alchemilla vulgaris agg.	741	TAXON
529	Sanguisorba minor	742	TAXON
530	Sanguisorba minor i.w.S.	743	TAXON
531	Fragaria	744	TAXON
532	Fragaria vesca	745	TAXON
533	Rosa	746	TAXON
534	Rosa canina	747	TAXON
535	Rosa canina agg.	748	TAXON
536	Rosa pendulina	749	TAXON
537	Rubus	750	TAXON
538	Rubus fruticosus	751	TAXON
539	Rubus fruticosus agg.	752	TAXON
540	Rubus idaeus	753	TAXON
541	Maloideae	756	TAXON
542	Cotoneaster integerrimus	757	TAXON
543	Crataegus	758	TAXON
544	Crataegus laevigata	759	TAXON
